chr	loc	obs	exp	chr_level	pval	qval	zscore	dist
chr1	8294	1	0.0501120423020147	1	0.04887714746335558	1.0	4.2432764846019095	62
chr1	8356	1	0.0347922444236383	1	0.034193952992284025	1.0	5.174633312495748	62
chr1	8345	2	0.0532819133429454	1	0.0013700526701089222	1.0	8.433603088677765	27
chr1	8372	1	0.0437508579486034	1	0.04280759535252069	1.0	4.571700503041389	27
chr1	8207	1	0.0426612589199649	1	0.04176407102989412	1.0	4.634989989142713	1000000
chr1	8195	1	0.0391619408463462	1	0.03840502496724907	1.0	4.855322632711663	69
chr1	8264	1	0.0423935848406622	1	0.04150754177826833	1.0	4.65089971976527	2
chr1	8266	1	0.0426331750452457	1	0.04173715967422766	1.0	4.636652361866859	2
chr1	8230	1	0.0385584754217703	1	0.037824560519874456	1.0	4.896242828210104	277
chr1	8507	1	0.0495665603988444	1	0.04835818563032908	1.0	4.269011419841333	22
chr1	8529	1	0.048497508626357	1	0.047340287265822574	1.0	4.320661223584753	22
chr1	8379	1	0.0504856584962081	1	0.04923243598882447	1.0	4.225883460509954	1000000
chr1	7933	1	0.0506395815025076	1	0.04937876972821565	1.0	4.218772115720103	1
chr1	7934	1	0.0511307521450862	1	0.04984557231948814	1.0	4.196287941540989	1
chr1	7868	1	0.0494529270328124	1	0.048250041223415314	1.0	4.27442427838171	1190
chr1	9058	1	0.0504783774204159	1	0.04922551335292805	1.0	4.22622063066036	21
chr1	9079	1	0.0443653785968571	1	0.043395629151567285	1.0	4.53701044723148	21
chr1	8986	1	0.0471784148446787	1	0.04608281058019618	1.0	4.3867199992935095	15
chr1	9001	1	0.0494114893185298	1	0.04821060206342639	1.0	4.276402637887556	15
chr1	9217	2	0.0536954285896726	1	0.0013910190469287903	1.0	8.399281680115212	3
chr1	9220	1	0.0479600874286148	1	0.04682817014299134	1.0	4.347255571257653	3
chr1	8576	1	0.0510350256506385	1	0.049754613013404024	1.0	4.200645329004052	74
chr1	8650	1	0.0470174447638901	1	0.04592924609383736	1.0	4.394965186189023	74
chr1	8891	1	0.0488590967723584	1	0.047684695454408656	1.0	4.303007881538298	241
chr1	8774	1	0.0344045989967292	1	0.03381949012015955	1.0	5.2057935199004275	1000000
chr1	6871	1	0.0487024351261635	1	0.04753549248421566	1.0	4.310632974716543	1000000
chr1	6325	1	0.0509857630267872	1	0.04970780027928887	1.0	4.202892347228283	1222
chr1	7547	1	0.0475290502648998	1	0.046417229101848825	1.0	4.368900666662742	2
chr1	7549	1	0.0495348613065843	1	0.048328018970531454	1.0	4.2705195730075145	2
chr1	7556	1	0.0485971013386291	1	0.04743516050606607	1.0	4.3157798934726355	7
chr1	11651	2	0.0598032756421535	1	0.0017184954515925617	1.0	7.933837129352052	552
chr1	12203	2	0.0572062234740356	1	0.001575191073731888	1.0	8.122786987866554	195
chr1	12398	2	0.0775582922895917	1	0.0028565634206663493	1.0	6.903018876404909	195
chr1	10904	1	0.0410127233400855	1	0.04018308220695553	1.0	4.735365884750882	1000000
chr1	9520	2	0.1352012941038247	1	0.00835619851468608	1.0	5.071559614636013	1000000
chr1	2508	1	0.0507471840890248	1	0.04948105352829167	1.0	4.213819414868373	1000000
chr1	2344	1	0.0494823195174571	1	0.04827801510835126	1.0	4.273022453367885	261
chr1	2605	1	0.0500423865483474	1	0.04881089397679047	1.0	4.24654001841395	261
