chr	loc	obs	exp	chr_level	pval	qval	zscore	dist
chr1	1648	2	0.2780761174737613	1	0.03219068858735715	1.0	3.265367786417891	204
chr1	1852	3	0.3833987783998164	1	0.007065492686808626	1.0	4.225831513028065	204
chr1	1401	2	0.3457359118658621	1	0.04762355989783836	1.0	2.813407207346629	13
chr1	1414	3	0.366522531275242	1	0.0062500425241781956	1.0	4.349899953322954	13
chr1	2211	3	0.4203287535465762	1	0.009061049907790764	1.0	3.9789621964571653	246
chr1	2457	2	0.322730505623005	1	0.0421195889504509	1.0	2.952451954636338	246
chr1	2360	3	0.3228826948873992	1	0.004412427780363086	1.0	4.711346182650108	1000000
chr1	1972	2	0.2982179122278195	1	0.03654107682603364	1.0	3.1162843985213304	36
chr1	2008	2	0.2981991514877209	1	0.036536924803405126	1.0	3.1164167806338714	36
chr1	1905	2	0.3235396385178086	1	0.042308852994210125	1.0	2.9473352711229444	213
chr1	2118	2	0.337150347143886	1	0.04554005800919355	1.0	2.8637900676824657	59
chr1	2177	2	0.3465747067085593	1	0.04782895654365702	1.0	2.808575769806248	59
chr1	2085	2	0.3434271318049305	1	0.04705989079365126	1.0	2.826788023893332	1000000
chr1	11	3	0.4210115383535112	1	0.009100718111786652	1.0	3.974682108703042	258
chr1	269	2	0.3355426194561146	1	0.04515375710089576	1.0	2.873418171846148	258
chr1	239	3	0.3850120683789036	1	0.0071465797034533235	1.0	4.214368599693135	2
chr1	241	2	0.3548943606283818	1	0.04988369158584406	1.0	2.7614948774284067	2
chr1	301	3	0.4525225079202616	1	0.01104289035622453	1.0	3.7869560323069686	60
chr1	163	3	0.4359149911310825	1	0.009992000117162012	1.0	3.8835733948546634	7
chr1	170	5	0.4036646282211126	1	6.390710506720972e-05	1.0	7.234380743557434	7
chr1	226	2	0.3504143477233379	1	0.04877331325262795	1.0	2.786659658613946	4
chr1	230	2	0.3482647303283147	1	0.04824378116547722	1.0	2.7988891278676777	4
chr1	196	3	0.3483433150874214	1	0.00543770635016485	1.0	4.492763461677004	1
chr1	197	2	0.331740296791169	1	0.044245039315794855	1.0	2.8964400575735945	1
chr1	1042	2	0.3359334713272965	1	0.045247557256535474	1.0	2.8710717527775143	32
chr1	1074	3	0.3263341066067906	1	0.004543863164073614	1.0	4.680323831350706	2
chr1	1076	2	0.3353262660792547	1	0.04510186586663633	1.0	2.8747186106103	1
chr1	1077	2	0.3344420102205278	1	0.044890013109762227	1.0	2.8800454774143716	1
chr1	1079	2	0.3376048493760573	1	0.04564948665254276	1.0	2.8610794975547513	2
chr1	1089	3	0.3465064760120298	1	0.005359385275130861	1.0	4.507776282163441	1
chr1	1090	2	0.3189880525465994	1	0.04124838020481957	1.0	2.976347199353829	1
chr1	1193	2	0.3455481558630452	1	0.04757762846941103	1.0	2.814490849175268	26
chr1	1219	2	0.3483874927179925	1	0.0482739650587082	1.0	2.7981879717862395	26
chr1	1107	3	0.4116802195489125	1	0.008567371584337057	1.0	4.034018922807195	1000000
chr1	900	2	0.3536346713146929	1	0.04957055353654983	1.0	2.7685271869775385	1000000
chr1	807	2	0.335291879009936	1	0.045093620355388185	1.0	2.874925406346	1000000
chr2	802	3	0.4371480210366607	2	0.010067926313181411	1.0	3.876227562040836	53
chr2	855	3	0.4388449324194937	2	0.01017296543153239	1.0	3.8661645131258777	53
chr2	613	3	0.4309039539870338	2	0.009686881870102962	1.0	3.913723149622253	119
chr2	732	3	0.439496790282681	2	0.010213484596181897	1.0	3.862313043086523	119
chr2	1132	3	0.2970795964997747	2	0.003502940422074066	1.0	4.9590312372827094	400
chr2	1083	2	0.3246040743476613	2	0.04255832285047413	1.0	2.9406305963563364	7
chr2	1090	2	0.3438099456226999	2	0.047153180246078195	1.0	2.8245609751173713	7
chr2	1186	2	0.3266938685362368	2	0.04304971166935336	1.0	2.9275539734329517	96
chr2	1179	2	0.3429123600301479	2	0.04693455157896875	1.0	2.8297880506418522	1000000
